Benchmark,Nbit-32K-1 Correct,Nbit-32K-1 Incorrect,2bit-Counter-16K Correct,2bit-Counter-16K Incorrect,FSM-2-16K Correct,FSM-2-16K Incorrect,FSM-3-16K Correct,FSM-3-16K Incorrect,FSM-4-16K Correct,FSM-4-16K Incorrect,FSM-5-16K Correct,FSM-5-16K Incorrect,Nbit-8K-4 Correct,Nbit-8K-4 Incorrect,Total Instructions
403.gcc,503415464,71062441,520154957,54322948,519491810,54986095,519837235,54640670,519334041,55143864,516680642,57797263,521706034,52771871,3184213850
410.bwaves,22070332742,7469112880,25413369981,4126075641,25206009332,4333436290,25408377092,4131068530,25386037092,4153408530,23654181561,5885264061,25458190131,4081255491,3.00165E+11
416.gamess,11679247183,1563537368,12323343671,919440880,12118013238,1124771313,12265409224,977375327,12315933779,926850772,12086655928,1156128623,12216166504,1026618047,1.91137E+11
429.mcf,3371435895,339198416,3469506200,241128111,3469570531,241063780,3470069576,240564735,3468751383,241882928,3459198116,251436195,3475322089,235312222,18199704182
433.milc,789062405,994127090,1285315976,497873519,435660455,1347529040,1285221151,497968344,1285201415,497988080,793083521,990105974,1285500947,497688548,38323372832
435.gromacs,15342286584,1719445327,15712719893,1349012018,15326550301,1735181610,15692863150,1368868761,15685903999,1375827912,15464089978,1597641933,15554229020,1507502891,4.45004E+11
436.cactusADM,155195973,5801145,157850651,3146467,157985923,3011195,157983082,3014036,157983806,3013312,157964311,3032807,157949923,3047195,80776877872
450.soplex,1021382586,102643436,1060382961,63643061,1059626947,64399075,1059888572,64137450,1059485613,64540409,1046822396,77203626,1056954814,67071208,7441932795
459.GemsFDTD,3168071288,86375146,3206879604,47566830,3206629172,47817262,3206097642,48348792,3206641443,47804991,3192537316,61909118,3208650925,45795509,1.08777E+11
470.lbm,1080176119,18597841,1066594479,32179481,1066313845,32460115,1063399579,35374381,1063036344,35737616,1067814001,30959959,1023615099,75158861,96483398089
483.xalancbmk,24406940753,3548601268,25444084029,2511457992,25375611297,2579930724,25144068602,2811473419,25261601907,2693940114,24999057136,2956484885,25602369762,2353172259,2.24118E+11
