Benchmark,Static-AlwaysTaken Correct,Static-AlwaysTaken Incorrect,Static-BTFNT Correct,Static-BTFNT Incorrect,Best-2bit-FSM (ABACBDCD:3) Correct,Best-2bit-FSM (ABACBDCD:3) Incorrect,Pentium-M Correct,Pentium-M Incorrect,LocalHistory-BHT2048-H8 Correct,LocalHistory-BHT2048-H8 Incorrect,LocalHistory-BHT4096-H4 Correct,LocalHistory-BHT4096-H4 Incorrect,LocalHistory-BHT8192-H2 Correct,LocalHistory-BHT8192-H2 Incorrect,GlobalHistory-H4-PHT16384 Correct,GlobalHistory-H4-PHT16384 Incorrect,GlobalHistory-H8-PHT16384 Correct,GlobalHistory-H8-PHT16384 Incorrect,GlobalHistory-H12-PHT16384 Correct,GlobalHistory-H12-PHT16384 Incorrect,Perceptron-M256-H20 Correct,Perceptron-M256-H20 Incorrect,Perceptron-M128-H32 Correct,Perceptron-M128-H32 Incorrect,Perceptron-M64-H60 Correct,Perceptron-M64-H60 Incorrect,Alpha21264 Correct,Alpha21264 Incorrect,Tournament-2bit-vs-Global Correct,Tournament-2bit-vs-Global Incorrect,Tournament-2bit-vs-FSM Correct,Tournament-2bit-vs-FSM Incorrect,Tournament-2bit-vs-Perceptron Correct,Tournament-2bit-vs-Perceptron Incorrect,Tournament-Global-vs-Perceptron Correct,Tournament-Global-vs-Perceptron Incorrect,Total Instructions
403.gcc,269648788,304822195,400875872,173595111,520161056,54309927,471729055,102741928,525420472,49050511,517325419,57145564,511202577,63268406,423780481,150690502,475347760,99123223,522008648,52462335,549713476,24757507,547307836,27163147,542083123,32387860,544488084,29982899,530682460,43788523,520383524,54087459,547225955,27245028,539653111,34817872,3184196198
410.bwaves,21133243395,8406202431,24436398697,5103047129,25413370183,4126075643,24888591948,4650853878,27269173886,2270271940,26158071495,3381374331,24720180394,4819265432,23351393237,6188052589,25973193716,3566252110,27066242397,2473203429,27656677952,1882767874,28169973022,1369472804,28946959046,592486780,28069975500,1469470326,26983810977,2555634849,25419357967,4120087859,28470893697,1068552129,28485897010,1053548816,3.00165E+11
416.gamess,6258962691,6983822240,8877733274,4365051657,12323344003,919440928,12117886121,1124898810,12923453746,319331185,12706464925,536320006,12259843026,982941905,10106685107,3136099824,12194845875,1047939056,12705600724,537184207,12876151114,366633817,12898227679,344557252,12932465148,310319783,13055166190,187618741,12665616424,577168507,12325299182,917485749,12940252207,302532724,12951271353,291513578,1.91137E+11
429.mcf,1332802296,2377832049,2644368864,1066265481,3469506235,241128110,2714773140,995861205,3510181670,200452675,3492125982,218508363,3466598410,244035935,3415742553,294891792,3490803429,219830916,3531954624,178679721,3554482148,156152197,3555444971,155189374,3555972863,154661482,3556780346,153853999,3527336651,183297694,3473322444,237311901,3551270725,159363620,3552644841,157989504,18199704287
433.milc,1242011648,541177671,1270157007,513032312,1285315806,497873513,1734021134,49168185,1781889153,1300166,1780756520,2432799,1664837950,118351369,1618037350,165151969,1689053914,94135405,1745710667,37478652,1781843566,1345753,1781882815,1306504,1782095568,1093751,1782391340,797979,1697862277,85327042,1285313090,497876229,1782084498,1104821,1782099665,1089654,38323372398
435.gromacs,5651208400,11410523503,13730891486,3330840417,15712719904,1349011999,15762027811,1299704092,16098777175,962954728,15951115442,1110616461,15437255034,1624476869,14355286134,2706445769,15097133717,1964598186,16170532199,891199704,16390657180,671074723,16378423546,683308357,16341476659,720255244,16394992836,666739067,16095835376,965896527,15717750621,1343981282,16312368533,749363370,16302798256,758933647,4.45004E+11
436.cactusADM,142230028,18767179,155336327,5660880,157850760,3146447,156440739,4556468,158981528,2015679,158405639,2591568,157823474,3173733,155679380,5317827,157878379,3118828,158869873,2127334,159087809,1909398,159126541,1870666,159129585,1867622,159091184,1906023,158317011,2680196,157988470,3008737,159139422,1857785,159111351,1885856,80776878035
450.soplex,637208544,482602311,900666830,219144025,1057522817,62288038,1024949240,94861615,1067592907,52217948,1058636979,61173876,1053670135,66140720,960039782,159771073,1045518631,74292224,1063413667,56397188,1074516534,45294321,1076359474,43451381,1076132695,43678160,1074617473,45193382,1063802898,56007957,1057375636,62435219,1074754626,45056229,1075324042,44486813,7435378141
459.GemsFDTD,2899775842,354670595,3050852160,203594277,3206879611,47566826,3091855506,162590931,3228639883,25806554,3204284505,50161932,3200237487,54208950,3135453657,118992780,3194113242,60333195,3229747261,24699176,3238949875,15496562,3239592197,14854240,3239908414,14538023,3238071218,16375219,3230793509,23652928,3207166162,47280275,3239969597,14476840,3239978597,14467840,1.08777E+11
470.lbm,176492009,922281985,834313851,264460143,1066594513,32179481,1070532356,28241638,1081384425,17389569,1081285865,17488129,1078592789,20181205,1075318026,23455968,1080246729,18527265,1081383213,17390781,1081249862,17524132,1081259606,17514388,1081393547,17380447,1081604525,17169469,1081169432,17604562,1066614101,32159893,1081377924,17396070,1081565402,17208592,96483398191
