benchmark,BTB-512-1 Correct,BTB-512-1 Incorrect,BTB-512-1 TargetCorrect,BTB-512-2 Correct,BTB-512-2 Incorrect,BTB-512-2 TargetCorrect,BTB-256-2 Correct,BTB-256-2 Incorrect,BTB-256-2 TargetCorrect,BTB-256-4 Correct,BTB-256-4 Incorrect,BTB-256-4 TargetCorrect,BTB-128-2 Correct,BTB-128-2 Incorrect,BTB-128-2 TargetCorrect,BTB-128-4 Correct,BTB-128-4 Incorrect,BTB-128-4 TargetCorrect,BTB-64-4 Correct,BTB-64-4 Incorrect,BTB-64-4 TargetCorrect,BTB-64-8 Correct,BTB-64-8 Incorrect,BTB-64-8 TargetCorrect,Total Instructions
403.gcc,493671503,147375938,303560220,495661738,145385703,312411102,500608437,140439004,298478776,501213533,139833908,303169221,498390421,142657020,279979847,499110060,141937381,285419311,495035386,146012055,263830786,496024266,145023175,266748758,3184014499
410.bwaves,24480367188,6850624806,22806770952,24504729875,6826262119,22917070004,24575749696,6755242298,22876639002,24509324939,6821667055,22914597659,24538894328,6792097666,22694571377,24699103573,6631888421,22818734606,24746262450,6584729544,22608855092,24814538060,6516453934,22664409491,3.00E+11
416.gamess,11644527198,2461368231,7009530035,11038279727,3067615702,7051803360,11651312087,2454583342,7021740407,11606893367,2499002062,7045220153,12368579570,1737315859,6952006388,12289692823,1816202606,6961322981,12474678281,1631217148,6846383639,12499166291,1606729138,6853940469,1.91E+11
429.mcf,1519334057,2289073008,1422217218,1503664000,2304743065,1430174420,1518814163,2289592902,1427887206,1520803751,2287603314,1429304765,1569026236,2239380829,1421977790,1561168212,2247238853,1425108700,1573988467,2234418598,1415542979,1677747474,2130659591,1418235460,18199704182
433.milc,1268994394,535795657,1263589286,1269060453,535729598,1263607503,1269069744,535720307,1263598081,1269062807,535727244,1263604593,1269228585,535561466,1263570254,1275891766,528898285,1263583224,1281538299,523251752,1263537146,1269281939,535508112,1263542171,38323373298
435.gromacs,14674071719,3165763475,6412756655,14680347803,3159487391,6427461859,14757753844,3082081350,6422113370,14796803709,3043031485,6427436423,14996694945,2843140249,6368408003,14854223721,2985611473,6397419172,15052554779,2787280415,6304690508,14960060460,2879774734,6324248695,4.45E+11
436.cactusADM,156515185,6143447,143822206,156537743,6120889,143845053,156623128,6035504,143813048,156573469,6085163,143821196,156620290,6038342,143723631,156664988,5993644,143777470,156622760,6035872,143667756,156687869,5970763,143719234,80776877872
450.soplex,919546452,245724275,678741435,919646940,245623787,681577804,931497576,233773151,677182075,928915625,236355102,681619086,991921595,173349132,668971834,993785883,171484844,673554682,989713848,175556879,661208785,1000357102,164913625,660660803,7435614332
459.GemsFDTD,3151719784,153140125,2932243181,3154271533,150588376,2938595212,3146509398,158350511,2926589315,3153094191,151765718,2933355352,3139540357,165319552,2909066217,3147015662,157844247,2914128247,3135058145,169801764,2896434122,3133156334,171703575,2893719826,1.09E+11
470.lbm,697330116,653812544,428859576,696379321,654763339,428859813,696379318,654763342,428859422,696379210,654763450,428859585,701578843,649563817,428858523,701579104,649563556,428858831,703955288,647187372,428857546,703955177,647187483,428857641,96483398089
483.xalancbmk,24187589363,8774885597,11940626878,24858194681,8104280279,12576923249,24835547476,8126927484,11732541599,25059104680,7903370280,11967427528,24142937461,8819537499,9820819602,24616625699,8345849261,10487313103,23051778870,9910696090,7669056918,22699864150,10262610810,7760373493,2.24E+11
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
benchmark,MKPI BTB-512-1,MKPI BTB-512-2,MKPI BTB-256-2,MKPI BTB-256-4,MKPI BTB-128-2,MKPI BTB-128-4,MKPI BTB-64-4,MKPI BTB-64-8,,,benchmark,TCPKI BTB-512-1,TCPKI BTB-512-2,TCPKI BTB-256-2,TCPKI BTB-256-4,TCPKI BTB-128-2,TCPKI BTB-128-4,TCPKI BTB-64-4,TCPKI BTB-64-8,,,,,,
403.gcc,46.28620191,45.66113095,44.10752653,43.91748469,44.80413643,44.57812018,45.85784865,45.54727218,,,403.gcc,95.33883093,98.1186179,93.74290729,95.2160303,87.93296861,89.6413352,82.86105044,83.77749476,,,,,,
410.bwaves,22.82286345,22.74169913,22.50509652,22.72639067,22.62788022,22.09414296,21.93703311,21.70957285,,,410.bwaves,75.98078041,76.34824181,76.21354589,76.34000519,75.60698741,76.02063734,75.32142352,75.50650306,,,,,,
416.gamess,12.87750792,16.04930339,12.8420104,13.07440245,9.089374946,9.502098526,8.534282468,8.406164887,,,416.gamess,36.67280555,36.89397322,36.73668838,36.85953088,36.37185049,36.42059351,35.81924818,35.85878437,,,,,,
429.mcf,125.7752865,126.6362927,125.8038526,125.6945328,123.0449026,123.4766692,122.7722481,117.0711111,,,429.mcf,78.14507334,78.58228934,78.4566162,78.53450533,78.13191774,78.30394856,77.77835095,77.92629187,,,,,,
433.milc,13.98091063,13.9791869,13.97894446,13.97912548,13.97479971,13.80093242,13.65359328,13.9734075,,,433.milc,32.97176572,32.97224107,32.97199521,32.97216514,32.9712691,32.97160754,32.97040519,32.97053631,,,,,,
435.gromacs,7.114011279,7.099907846,6.92596325,6.838211533,6.389021782,6.709178958,6.263495193,6.471345727,,,435.gromacs,14.41055958,14.44360468,14.43158572,14.44354753,14.31090058,14.37609364,14.16771649,14.21166707,,,,,,
436.cactusADM,0.076054524,0.075775261,0.074718213,0.075332981,0.074753347,0.074199996,0.074722769,0.073916734,,,436.cactusADM,1.78048731,1.780770151,1.780373936,1.780474807,1.779266973,1.779933488,1.778575253,1.779212539,,,,,,
450.soplex,33.04693654,33.03342213,31.43965523,31.78689634,23.31335708,23.06263294,23.61027229,22.17888363,,,450.soplex,91.28249593,91.66395318,91.07278091,91.66950511,89.96860301,90.58494052,88.92456702,88.85087008,,,,,,
459.GemsFDTD,1.407835526,1.384376991,1.455735229,1.395200438,1.519802458,1.451081083,1.56100797,1.578491547,,,459.GemsFDTD,26.95646305,27.01485803,26.90448638,26.96668737,26.74339444,26.78993029,26.62726608,26.60231323,,,,,,
470.lbm,6.776425343,6.786279836,6.786279868,6.786280987,6.732389508,6.732386803,6.707758898,6.707760048,,,470.lbm,4.444905388,4.444907844,4.444903792,4.444905481,4.444894474,4.444897666,4.444884348,4.444885333,,,,,,
483.xalancbmk,39.15297119,36.1607737,36.26182406,35.26432629,39.35220508,37.23863885,44.22088404,45.79110473,,,483.xalancbmk,53.27830374,56.11741694,52.3498407,53.39788651,43.81986098,46.79371181,34.21883525,34.62628389,,,,,,
AVERAGE,28.11972771,28.14619534,27.47105512,27.41256224,26.4475112,26.24728017,26.83574062,26.31900282,,,AVERAGE,46.47840645,47.12553402,46.28233858,46.60229488,44.73471944,45.28432996,43.17384752,43.3231675,,,,,,
