Benchmark,FSM-1 Correct,FSM-1 Incorrect,FSM-2 Correct,FSM-2 Incorrect,FSM-3 Correct,FSM-3 Incorrect,FSM-4 Correct,FSM-4 Incorrect,FSM-5 Correct,FSM-5 Incorrect,Total Instructions,,MPKI FSM 1,MPKI FSM 2,MPKI FSM 3,MPKI FSM 4,MPKI FSM 5
403.gcc,520234296,54314120,519569952,54978464,519923178,54625238,519413461,55134955,516758833,57789583,3184507251,,17.05573758,17.2643551,17.15343496,17.31349645,18.1471036
410.bwaves,25413369983,4126075642,25206009332,4333436293,25408377095,4131068530,25386037093,4153408532,23654181564,5885264061,300165002694,,13.74602504,14.43684725,13.76265885,13.83708459,19.60676297
416.gamess,12323343663,919440887,12118013233,1124771317,12265409218,977375332,12315933772,926850778,12086655922,1156128628,191137079600,,4.810374256,5.884631697,5.113478421,4.849141673,6.048688357
429.mcf,3469506200,241128111,3469570531,241063780,3470069576,240564735,3468751383,241882928,3459198116,251436195,18199704182,,13.24901265,13.24547793,13.21805743,13.29048679,13.8154001
433.milc,1285315772,497873513,435660251,1347529034,1285220947,497968338,1285201211,497988074,793083317,990105968,38323372296,,12.99138054,35.1620683,12.99385488,12.99436986,25.83556479
435.gromacs,15712719877,1349012009,15326550287,1735181599,15692863138,1368868748,15685903987,1375827899,15464089965,1597641921,445004175949,,3.031459213,3.899247901,3.07608068,3.091719074,3.590172873
436.cactusADM,157850651,3146467,157985923,3011195,157983082,3014036,157983806,3013312,157964311,3032807,80776877872,,0.03895257,0.037277932,0.037313103,0.03730414,0.037545484
450.soplex,1059162631,62546470,1058369501,63339600,1058801702,62907399,1058252687,63456414,1045768503,75940598,7440656697,,8.406041637,8.512635723,8.454549318,8.528335144,10.20616877
459.GemsFDTD,3206879608,47566826,3206629176,47817258,3206097646,48348788,3206641447,47804987,3192537320,61909114,108776742205,,0.43728857,0.439590826,0.444477257,0.439478017,0.569139255
470.lbm,1066594479,32179481,1066313845,32460115,1063399579,35374381,1063036344,35737616,1067814001,30959959,96483398089,,0.333523504,0.336432129,0.366636973,0.370401714,0.320883796
483.xalancbmk,25444084029,2511457985,25375611298,2579930716,25144068601,2811473413,25261601907,2693940107,24999057134,2956484880,224117738457,,11.20597594,11.51149719,12.54462691,12.0202003,13.19165944
,,,,,,,,,,,,,7.755070136,10.06636927,7.924106252,7.88836525,10.12446268
