Benchmark,M32-H4 Correct,M32-H4 Incorrect,M32-H8 Correct,M32-H8 Incorrect,M32-H32 Correct,M32-H32 Incorrect,M32-H60 Correct,M32-H60 Incorrect,M32-H72 Correct,M32-H72 Incorrect,M512-H4 Correct,M512-H4 Incorrect,M512-H8 Correct,M512-H8 Incorrect,M512-H32 Correct,M512-H32 Incorrect,M512-H60 Correct,M512-H60 Incorrect,M512-H72 Correct,M512-H72 Incorrect,M1024-H4 Correct,M1024-H4 Incorrect,M1024-H8 Correct,M1024-H8 Incorrect,M1024-H32 Correct,M1024-H32 Incorrect,M1024-H60 Correct,M1024-H60 Incorrect,M1024-H72 Correct,M1024-H72 Incorrect,Total Instructions
403.gcc,493313818,81152397,507698574,66767641,526116268,48349947,530191133,44275082,530831539,43634676,533140415,41325800,543623165,30843050,555371828,19094387,557437830,17028385,557660840,16805375,535915884,38550331,545500863,28965352,556792545,17673670,558949984,15516231,559221697,15244518,3184153795
410.bwaves,25595507646,3943937977,26294290788,3245154835,27746011333,1793434290,28328688764,1210756859,28660689017,878756606,26166662231,3372783392,26766552796,2772892827,28163917826,1375527797,29081132695,458312928,29213016500,326429123,26209547607,3329898016,26774260229,2765185394,28164829839,1374615784,29081424868,458020755,29213307560,326138063,3.00165E+11
416.gamess,12230917347,1011867246,12475837552,766947041,12763495751,479288842,12850902885,391881708,12859177608,383606985,12545222813,697561780,12711342147,531442446,12936798917,305985676,13022424789,220359804,13030837675,211946918,12555168530,687616063,12716574130,526210463,12940181469,302603124,13025959527,216825066,13034493846,208290747,1.91137E+11
429.mcf,3513317143,197317168,3536707015,173927296,3547781294,162853017,3549808686,160825625,3552130835,158503476,3531244508,179389803,3548184912,162449399,3556332739,154301572,3558528501,152105810,3560901763,149732548,3532946829,177687482,3548457222,162177089,3556359169,154275142,3558557777,152076534,3560927449,149706862,18199704185
433.milc,1655034779,128154512,1724867535,58321756,1781869657,1319634,1782086132,1103159,1782107282,1082009,1666712167,116477124,1725639926,57549365,1781886750,1302541,1782105005,1084286,1782126511,1062780,1666862347,116326944,1725806839,57382452,1781887710,1301581,1782105821,1083470,1782127709,1061582,38323372307
435.gromacs,15815287363,1246444641,16088622169,973109835,16231715332,830016672,16242851139,818880865,16243655421,818076583,16126392883,935339121,16289412823,772319181,16396434675,665297329,16405158056,656573948,16405208888,656523116,16131100522,930631482,16290124439,771607565,16397378588,664353416,16406207402,655524602,16406338509,655393495,4.45004E+11
436.cactusADM,158052379,2944739,158170051,2827067,159025737,1971381,159072972,1924146,159083550,1913568,158270625,2726493,158366275,2630843,159155379,1841739,159179970,1817148,159184470,1812648,158303771,2693347,158374416,2622702,159159281,1837837,159183667,1813451,159188597,1808521,80776877757
450.soplex,1048522396,71862256,1062111526,58273126,1074878735,45505917,1075560013,44824639,1075641427,44743225,1061747849,58636803,1068872353,51512299,1077621007,42763645,1078194213,42190439,1078298611,42086041,1061977208,58407444,1068920022,51464630,1077691493,42693159,1078281299,42103353,1078393937,41990715,7437167111
459.GemsFDTD,3183861309,70585114,3221002951,33443472,3239396813,15049610,3239809211,14637212,3240018880,14427543,3213188638,41257785,3236570418,17876005,3239625546,14820877,3239973857,14472566,3240157661,14288762,3213946764,40499659,3236807429,17638994,3239630660,14815763,3239905238,14541185,3240153279,14293144,1.08777E+11
470.lbm,1080905130,17868830,1081053912,17720048,1081258767,17515193,1081392729,17381231,1081384367,17389593,1080886536,17887424,1081052441,17721519,1081260233,17513727,1081394936,17379024,1081385597,17388363,1080886647,17887313,1081052544,17721416,1081260294,17513666,1081394997,17378963,1081385621,17388339,96483398089
483.xalancbmk,23932565610,4022976397,25104168744,2851373263,27009675946,945866061,27256550323,698991684,27298570491,656971516,26477693415,1477848592,27042388187,913153820,27675356754,280185253,27737270472,218271535,27748544509,206997498,26548385721,1407156286,27074200499,881341508,27677860391,277681616,27737346253,218195754,27748951884,206590123,2.24118E+11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benchmark,M32-H4 MKPI,M32-H8 MKPI,M32-H32 MKPI,M32-H60 MKPI,M32-H72 MKPI,M512-H4 MKPI,M512-H8 MKPI,M512-H32 MKPI,M512-H60 MKPI,M512-H72 MKPI,M1024-H4 MKPI,M1024-H8 MKPI,M1024-H32 MKPI,M1024-H60 MKPI,M1024-H72 MKPI,,,,,,,,,,,,,,,,
403.gcc,25.48633082,20.96872365,15.18455141,13.90481894,13.70369612,12.97858165,9.686419685,5.996691187,5.347852552,5.277815106,12.10693122,9.096718898,5.550507651,4.872952753,4.787619877,,,,,,,,,,,,,,,,
410.bwaves,13.13923323,10.81123651,5.974828091,4.03363766,2.927578492,11.23643117,9.237895165,4.582572201,1.526869968,1.087498943,11.0935585,9.212217845,4.579533829,1.525896593,1.086529276,,,,,,,,,,,,,,,,
416.gamess,5.293934843,4.012549748,2.507565998,2.050265226,2.00697314,3.649536663,2.780425686,1.60087031,1.152888829,1.108873895,3.597502191,2.75305275,1.583173314,1.13439562,1.089745367,,,,,,,,,,,,,,,,
429.mcf,10.84177885,9.556600164,8.948113406,8.83671643,8.709123752,9.85674279,8.925936232,8.478246153,8.357597929,8.227196798,9.763207149,8.910973901,8.476793932,8.355989331,8.225785457,,,,,,,,,,,,,,,,
433.milc,3.344030138,1.521832566,0.034434183,0.028785541,0.028233658,3.039323446,1.501677998,0.033988162,0.028293074,0.027731902,3.035404689,1.497322614,0.033963112,0.028271781,0.027700642,,,,,,,,,,,,,,,,
