benchmark,RAS-4 Correct,RAS-4 Incorrect,RAS-8 Correct,RAS-8 Incorrect,RAS-16 Correct,RAS-16 Incorrect,RAS-32 Correct,RAS-32 Incorrect,RAS-48 Correct,RAS-48 Incorrect,RAS-64 Correct,RAS-64 Incorrect
403.gcc,54262878,2337334,56430890,169322,56590484,9728,56598631,1581,56599539,673,56599916,296
410.bwaves,268460218,2589541,271049652,107,271049759,0,271049759,0,271049759,0,271049759,0
416.gamess,120510404,874824,121384978,250,121385228,0,121385228,0,121385228,0,121385228,0
429.mcf,25847725,1287867,26990595,144997,27135447,145,27135592,0,27135592,0,27135592,0
433.milc,217964833,899,217965729,3,217965732,0,217965732,0,217965732,0,217965732,0
435.gromacs,167053167,1755177,168806800,1544,168808341,3,168808344,0,168808344,0,168808344,0
436.cactusADM,3678821,30415,3706894,2342,3709233,3,3709236,0,3709236,0,3709236,0
450.soplex,45153765,6182,45159748,199,45159947,0,45159947,0,45159947,0,45159947,0
459.GemsFDTD,55372492,1650479,57022945,26,57022971,0,57022971,0,57022971,0,57022971,0
470.lbm,2631145,30,2631174,1,2631175,0,2631175,0,2631175,0,2631175,0
483.xalancbmk,9096344568,1728079238,10211003232,613420574,10691103750,133320056,10740973105,83450701,10749543087,74880719,10758087646,66336160
,,,,,,,,,,,,
,,,,,,,,,,,,
benchmark,RAS-4,RAS-8,RAS-16,RAS-32,RAS-48,RAS-64,,,,,,
403.gcc,4.13%,0.30%,0.02%,0.00%,0.00%,0.00%,,,,,,
410.bwaves,0.96%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,
416.gamess,0.72%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,
429.mcf,4.75%,0.53%,0.00%,0.00%,0.00%,0.00%,,,,,,
433.milc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,
435.gromacs,1.04%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,
436.cactusADM,0.82%,0.06%,0.00%,0.00%,0.00%,0.00%,,,,,,
450.soplex,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,
459.GemsFDTD,2.89%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,
470.lbm,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,
483.xalancbmk,15.96%,5.67%,1.23%,0.77%,0.69%,0.61%,,,,,,
AVERAGE,2.84%,0.60%,0.11%,0.07%,0.06%,0.06%,,,,,,
