benchmark,policy,file,l1_size_kb,l1_assoc,l1_block_b,l2_size_kb,l2_assoc,l2_block_b,l1_latency,l2_latency,mem_latency,total_instructions,total_cycles,ipc_reported,ipc_computed,l1_total_accesses,l1_total_hits,l1_total_misses,l1_total_miss_rate,l1_total_mpki,l2_total_accesses,l2_total_hits,l2_total_misses,l2_total_miss_rate,l2_total_mpki,mem_accesses,mem_mpki,l1_load_accesses,l1_load_hits,l1_load_misses,l1_load_miss_rate,l1_load_mpki,l1_store_accesses,l1_store_hits,l1_store_misses,l1_store_miss_rate,l1_store_mpki,l2_load_accesses,l2_load_hits,l2_load_misses,l2_load_miss_rate,l2_load_mpki,l2_store_accesses,l2_store_hits,l2_store_misses,l2_store_miss_rate,l2_store_mpki,l2_size_kb_filename,l2_assoc_filename,l2_block_b_filename,l1_load_accesses_pct,l1_load_hits_pct,l1_load_misses_pct,l1_store_accesses_pct,l1_store_hits_pct,l1_store_misses_pct,l1_total_accesses_pct,l1_total_hits_pct,l1_total_misses_pct,l2_load_accesses_pct,l2_load_hits_pct,l2_load_misses_pct,l2_store_accesses_pct,l2_store_hits_pct,l2_store_misses_pct,l2_total_accesses_pct,l2_total_hits_pct,l2_total_misses_pct
403.gcc,Sets: 1024,/home/ssm-user/advcomparch/advcomparch-ex2-helpcode/outputs/L2_cache/403.gcc/403.gcc.cslab_cache_stats_L2_LRU_0256_04_064.out,32,4,32,256,4,64,1,15,250,3184274146,10174608175,0.312963,0.31296282777985207,1230664904,1162986629,67678275,0.05499325996867788,21.25390965002672,67678275,48700295,18977980,0.2804146530034934,5.959907699479842,18977980,5.959907699479842,757395415,719474797,37920618,0.050067134351480067,11.90871648021728,473269489,443511832,29757657,0.06287677040596208,9.345193169809445,37920618,22053560,15867058,0.41842825451842586,4.982943450372128,29757657,26646735,3110922,0.10454189992175796,0.9769642491077148,256,4,64,100.0,94.99,5.01,100.0,93.71,6.29,100.0,94.5,5.5,100.0,58.16,41.84,100.0,89.55,10.45,100.0,71.96,28.04
403.gcc,Sets:  512,/home/ssm-user/advcomparch/advcomparch-ex2-helpcode/outputs/L2_cache/403.gcc/403.gcc.cslab_cache_stats_L2_LRU_0256_04_128.out,32,4,32,256,4,128,1,15,250,3184036921,9113628155,0.349371,0.3493709494009963,1230603699,1163328930,67274769,0.05466810237501163,21.12876535956475,67274769,52515305,14759464,0.21939077932768525,4.6354562984667105,14759464,4.6354562984667105,757369811,719398479,37971332,0.050135787627796004,11.925531312015838,473233888,443930451,29303437,0.06192167920146919,9.20323404754891,37971332,24986574,12984758,0.3419621413333617,4.0780802239949905,29303437,27528731,1774706,0.06056306637340869,0.5573760744717193,256,4,128,100.0,94.99,5.01,100.0,93.81,6.19,100.0,94.53,5.47,100.0,65.8,34.2,100.0,93.94,6.06,100.0,78.06,21.94
403.gcc,Sets:  256,/home/ssm-user/advcomparch/advcomparch-ex2-helpcode/outputs/L2_cache/403.gcc/403.gcc.cslab_cache_stats_L2_LRU_0256_04_256.out,32,4,32,256,4,256,1,15,250,3184218284,8042120770,0.395943,0.39594260955123656,1230649201,1162861832,67787369,0.05508260919920753,21.288543357915092,67787369,57345598,10441771,0.15403711862603783,3.2792258785987176,10441771,3.2792258785987176,757380342,719251182,38129160,0.05034347722745622,11.974417768904438,473268859,443610650,29658209,0.06266672407448638,9.314125589010656,38129160,28700904,9428256,0.24727153705982508,2.960932687113482,29658209,28644694,1013515,0.03417316939131422,0.31829319148523555,256,4,256,100.0,94.97,5.03,100.0,93.73,6.27,100.0,94.49,5.51,100.0,75.27,24.73,100.0,96.58,3.42,100.0,84.6,15.4
403.gcc,Sets: 2048,/home/ssm-user/advcomparch/advcomparch-ex2-helpcode/outputs/L2_cache/403.gcc/403.gcc.cslab_cache_stats_L2_LRU_0512_04_064.out,32,4,32,512,4,64,1,15,250,3184190438,9140987107,0.348342,0.3483420773629147,1230630534,1162876375,67754159,0.05505645856175384,21.278299875354378,67754159,52914744,14839415,0.21901851073083203,4.660341549584165,14839415,4.660341549584165,757374436,719478203,37896233,0.05003632443701863,11.901371396555898,473256098,443398172,29857926,0.0630904200203248,9.376928478798478,37896233,25266350,12629883,0.33327542080501776,3.9664345603439686,29857926,27648394,2209532,0.07400152307966736,0.6939069892401957,512,4,64,100.0,95.0,5.0,100.0,93.69,6.31,100.0,94.49,5.51,100.0,66.67,33.33,100.0,92.6,7.4,100.0,78.1,21.9
403.gcc,Sets: 1024,/home/ssm-user/advcomparch/advcomparch-ex2-helpcode/outputs/L2_cache/403.gcc/403.gcc.cslab_cache_stats_L2_LRU_0512_04_128.out,32,4,32,512,4,128,1,15,250,3184045873,8286096260,0.384264,0.3842636837771904,1230596962,1162859567,67737395,0.05504433790402938,21.274000972912493,67737395,56315825,11421570,0.16861543022137182,3.587124826577522,11421570,3.587124826577522,757362575,719529397,37833178,0.04995385202391338,11.882108332928532,473234387,443330170,29904217,0.06319113281174134,9.39189263998396,37833178,27630835,10202343,0.26966656092173913,3.2042072906403756,29904217,28684990,1219227,0.04077107252131029,0.3829175359371464,512,4,128,100.0,95.0,5.0,100.0,93.68,6.32,100.0,94.5,5.5,100.0,73.03,26.97,100.0,95.92,4.08,100.0,83.14,16.86
403.gcc,Sets:  512,/home/ssm-user/advcomparch/advcomparch-ex2-helpcode/outputs/L2_cache/403.gcc/403.gcc.cslab_cache_stats_L2_LRU_0512_04_256.out,32,4,32,512,4,256,1,15,250,3184195068,7433613618,0.428351,0.4283508979118425,1230645220,1163077698,67567522,0.05490414369788882,21.21965537822383,67567522,59546480,8021042,0.11871150165903673,2.519017154636206,8021042,2.519017154636206,757381890,719459940,37921950,0.05006978711888661,11.90943054371944,473263330,443617758,29645572,0.06264075435550859,9.31022483450439,37921950,30565490,7356460,0.1939894968481315,2.3103044389239034,29645572,28980990,664582,0.022417580608665603,0.20871271571230257,512,4,256,100.0,94.99,5.01,100.0,93.74,6.26,100.0,94.51,5.49,100.0,80.6,19.4,100.0,97.76,2.24,100.0,88.13,11.87
403.gcc,Sets: 1024,/home/ssm-user/advcomparch/advcomparch-ex2-helpcode/outputs/L2_cache/403.gcc/403.gcc.cslab_cache_stats_L2_LRU_0512_08_064.out,32,4,32,512,8,64,1,15,250,3184091393,9059028343,0.351483,0.351482661543981,1230593315,1163222156,67371159,0.054746891746279315,21.15867627044586,67371159,52836054,14535105,0.2157466965946066,4.564914509663385,14535105,4.564914509663385,757361976,719584287,37777689,0.04988062537747472,11.864511515923061,473231339,443637869,29593470,0.0625348905728325,9.294164754522798,37777689,25328183,12449506,0.32954652149314906,3.9099084992878534,29593470,27507871,2085599,0.07047497302614394,0.655006010375532,512,8,64,100.0,95.01,4.99,100.0,93.75,6.25,100.0,94.53,5.47,100.0,67.05,32.95,100.0,92.95,7.05,100.0,78.43,21.57
403.gcc,Sets:  512,/home/ssm-user/advcomparch/advcomparch-ex2-helpcode/outputs/L2_cache/403.gcc/403.gcc.cslab_cache_stats_L2_LRU_0512_08_128.out,32,4,32,512,8,128,1,15,250,3184242521,8198499376,0.388393,0.38839333577574453,1230650200,1163624323,67025877,0.05446379239202171,21.049237474208077,67025877,55913003,11112874,0.16579975521991305,3.4899584207895202,11112874,3.4899584207895202,757385642,719595729,37789913,0.049895206489800344,11.867787315437333,473264558,444028594,29235964,0.06177509704836169,9.181450158770742,37789913,27835781,9954132,0.26340711607354056,3.1260596309334945,29235964,28077222,1158742,0.039634130073494415,0.3638987898560256,512,8,128,100.0,95.01,4.99,100.0,93.82,6.18,100.0,94.55,5.45,100.0,73.66,26.34,100.0,96.04,3.96,100.0,83.42,16.58
403.gcc,Sets:  256,/home/ssm-user/advcomparch/advcomparch-ex2-helpcode/outputs/L2_cache/403.gcc/403.gcc.cslab_cache_stats_L2_LRU_0512_08_256.out,32,4,32,512,8,256,1,15,250,3184253312,7401759801,0.430202,0.4302021948307209,1230674044,1162978881,67695163,0.055006574104686325,21.259352308714817,67695163,59809543,7885620,0.11648720012683919,2.476442426952244,7885620,2.476442426952244,757418481,719562969,37855512,0.04997965186962477,11.8883481591555,473255563,443415912,29839651,0.06305187584239764,9.371004149559317,37855512,30613391,7242121,0.19130955090503068,2.2743545473306868,29839651,29196152,643499,0.021565232113472103,0.20208787962155694,512,8,256,100.0,95.0,5.0,100.0,93.69,6.31,100.0,94.5,5.5,100.0,80.87,19.13,100.0,97.84,2.16,100.0,88.35,11.65
403.gcc,Sets:  512,/home/ssm-user/advcomparch/advcomparch-ex2-helpcode/outputs/L2_cache/403.gcc/403.gcc.cslab_cache_stats_L2_LRU_0512_16_064.out,32,4,32,512,16,64,1,15,250,3184471559,9018445817,0.353106,0.3531064690766551,1230714153,1163016496,67697657,0.05500680790497093,21.258678479533565,67697657,53346476,14351181,0.2119893307385808,4.506613023262991,14351181,4.506613023262991,757432972,719634249,37798723,0.04990372006144987,11.86970029396956,473281181,443382247,29898934,0.06317372251486163,9.388978185564007,37798723,25509857,12288866,0.3251132584558478,3.858996939466778,29898934,27836619,2062315,0.06897620497105349,0.6476160837962126,512,16,64,100.0,95.01,4.99,100.0,93.68,6.32,100.0,94.5,5.5,100.0,67.49,32.51,100.0,93.1,6.9,100.0,78.8,21.2
