benchmark,replacement_policy,l2_size_kb,l2_assoc,l2_block_b,ipc_reported,ipc_computed,l2_total_mpki,l2_total_miss_rate,l1_total_mpki,l1_total_miss_rate,total_instructions,total_cycles,l1_size_kb,l1_assoc,l1_block_b,l1_latency,l2_latency,mem_latency,l1_total_accesses,l1_total_hits,l1_total_misses,l2_total_accesses,l2_total_hits,l2_total_misses,mem_accesses,mem_mpki,l1_load_accesses,l1_load_hits,l1_load_misses,l1_load_miss_rate,l1_load_mpki,l1_store_accesses,l1_store_hits,l1_store_misses,l1_store_miss_rate,l1_store_mpki,l2_load_accesses,l2_load_hits,l2_load_misses,l2_load_miss_rate,l2_load_mpki,l2_store_accesses,l2_store_hits,l2_store_misses,l2_store_miss_rate,l2_store_mpki,l2_size_kb_from_file,l2_assoc_from_file,l2_block_b_from_file,policy_printed_l1,policy_printed_l2,file,l1_load_accesses_pct,l1_load_hits_pct,l1_load_misses_pct,l1_store_accesses_pct,l1_store_hits_pct,l1_store_misses_pct,l1_total_accesses_pct,l1_total_hits_pct,l1_total_misses_pct,l2_load_accesses_pct,l2_load_hits_pct,l2_load_misses_pct,l2_store_accesses_pct,l2_store_hits_pct,l2_store_misses_pct,l2_total_accesses_pct,l2_total_hits_pct,l2_total_misses_pct
403.gcc,LFU,512,16,256,0.327275,0.327275097745366,6.6704337381746965,0.19914133515654314,33.49597778347289,0.08666782214833374,3184270144,9729643856,32,4,32,1,10,200,1230678692,1124018450,106660242,106660242,85419779,21240463,21240463,6.6704337381746965,757406703,700417414,56989289,0.07524265203129579,17.897127574864452,473271989,423601036,49670953,0.10495223498215527,15.598850208608432,56989289,39890590,17098699,0.3000335554282841,5.369738818240164,49670953,45529189,4141764,0.0833840252672422,1.3006949199345317,512,16,256,Sets:  256,Sets:  128,/home/ssm-user/advcomparch/advcomparch-ex2-helpcode/outputs/replacment_policies/403.gcc/403.gcc.cslab_cache_stats_L2_LFU_0512_16_256.out,100.0,92.48,7.52,100.0,89.5,10.5,100.0,91.33,8.67,100.0,70.0,30.0,100.0,91.66,8.34,100.0,80.09,19.91
403.gcc,LFU,1024,8,256,0.406624,0.40662373582049194,3.735283987413285,0.11467394807445908,32.57308264112371,0.08427958904304497,3183995391,7830323492,32,4,32,1,10,200,1230577251,1126864706,103712545,103712545,91819418,11893127,11893127,3.735283987413285,757349270,703133417,54215853,0.07158632766622988,17.027616670943853,473227981,423731289,49496692,0.10459375604841929,15.545465970179855,54215853,43688453,10527400,0.1941756777302757,3.3063490072118635,49496692,48130965,1365727,0.02759228838969683,0.4289349802014208,1024,8,256,Sets:  256,Sets:  512,/home/ssm-user/advcomparch/advcomparch-ex2-helpcode/outputs/replacment_policies/403.gcc/403.gcc.cslab_cache_stats_L2_LFU_1024_08_256.out,100.0,92.84,7.16,100.0,89.54,10.46,100.0,91.57,8.43,100.0,80.58,19.42,100.0,97.24,2.76,100.0,88.53,11.47
403.gcc,LFU,1024,16,256,0.383349,0.38334913023206135,4.454104299788342,0.13445149310708368,33.12796456816494,0.085715454819509,3184090009,8305979479,32,4,32,1,10,200,1230611460,1125129039,105482421,105482421,91300152,14182269,14182269,4.454104299788342,757373084,701606965,55766119,0.07363097551008295,17.51398950481114,473238376,423522074,49716302,0.10505551646132773,15.613975063353807,55766119,43413398,12352721,0.22150942582179692,3.8795137590596926,49716302,47886754,1829548,0.03679976036833955,0.5745905407286493,1024,16,256,Sets:  256,Sets:  256,/home/ssm-user/advcomparch/advcomparch-ex2-helpcode/outputs/replacment_policies/403.gcc/403.gcc.cslab_cache_stats_L2_LFU_1024_16_256.out,100.0,92.64,7.36,100.0,89.49,10.51,100.0,91.43,8.57,100.0,77.85,22.15,100.0,96.32,3.68,100.0,86.55,13.45
403.gcc,LFU,2048,16,256,0.431136,0.43113558598416885,3.042209890032883,0.09374342264183894,32.45251564641618,0.08396754155651251,3184120212,7385426570,32,4,32,1,10,200,1230626848,1127294137,103332711,103332711,93645949,9686762,9686762,3.042209890032883,757379017,703381985,53997032,0.07129459727295297,16.958226575900397,473247831,423912152,49335679,0.10424913917883334,15.494289070515784,53997032,45272470,8724562,0.16157484359510724,2.7400228066514973,49335679,48373479,962200,0.01950312673308905,0.3021870833813859,2048,16,256,Sets:  256,Sets:  512,/home/ssm-user/advcomparch/advcomparch-ex2-helpcode/outputs/replacment_policies/403.gcc/403.gcc.cslab_cache_stats_L2_LFU_2048_16_256.out,100.0,92.87,7.13,100.0,89.58,10.42,100.0,91.6,8.4,100.0,83.84,16.16,100.0,98.05,1.95,100.0,90.63,9.37
403.gcc,LIP,512,16,256,0.32517,0.3251700118230918,6.741268706404029,0.19794043755053192,34.05705670769299,0.08811884912944698,3184034925,9791908261,32,4,32,1,10,200,1230597756,1122158898,108438858,108438858,86974423,21464435,21464435,6.741268706404029,757355293,698694631,58660662,0.07745461415821914,18.42337266448169,473242463,423464267,49778196,0.1051853962648318,15.633684043211304,58660662,41206021,17454641,0.29755274497243145,5.481925107966584,49778196,45768402,4009794,0.08055322053053107,1.259343598437445,512,16,256,Sets:  256,Sets:  128,/home/ssm-user/advcomparch/advcomparch-ex2-helpcode/outputs/replacment_policies/403.gcc/403.gcc.cslab_cache_stats_L2_LIP_0512_16_256.out,100.0,92.25,7.75,100.0,89.48,10.52,100.0,91.19,8.81,100.0,70.24,29.76,100.0,91.94,8.06,100.0,80.21,19.79
403.gcc,LIP,1024,8,256,0.406832,0.406832190666929,3.71456517441731,0.11303779832610916,32.86126613772988,0.08502483224076998,3184013591,7826356085,32,4,32,1,10,200,1230590114,1125959396,104630718,104630718,92803492,11827226,11827226,3.71456517441731,757354795,702265516,55089279,0.07273906412647721,17.301835380262357,473235319,423693880,49541439,0.10468668971007213,15.559430757467517,55089279,44623921,10465358,0.1899708652930455,3.2868446383462686,49541439,48179571,1361868,0.027489471995353225,0.4277205360710409,1024,8,256,Sets:  256,Sets:  512,/home/ssm-user/advcomparch/advcomparch-ex2-helpcode/outputs/replacment_policies/403.gcc/403.gcc.cslab_cache_stats_L2_LIP_1024_08_256.out,100.0,92.73,7.27,100.0,89.53,10.47,100.0,91.5,8.5,100.0,81.0,19.0,100.0,97.25,2.75,100.0,88.7,11.3
403.gcc,LIP,1024,16,256,0.38119,0.3811896275604441,4.529742728735625,0.13687970832797025,33.092872450328045,0.08562436456422255,3184396524,8353838336,32,4,32,1,10,200,1230734132,1125353304,105380828,105380828,90956331,14424497,14424497,4.529742728735625,757464617,701714541,55750076,0.0736008979809548,17.507265687493884,473269515,423638763,49630752,0.10486784047351962,15.585606762834162,55750076,43215494,12534582,0.224835245067648,3.936250371312113,49630752,47740837,1889915,0.03807951570026583,0.5934923574235129,1024,16,256,Sets:  256,Sets:  256,/home/ssm-user/advcomparch/advcomparch-ex2-helpcode/outputs/replacment_policies/403.gcc/403.gcc.cslab_cache_stats_L2_LIP_1024_16_256.out,100.0,92.64,7.36,100.0,89.51,10.49,100.0,91.44,8.56,100.0,77.52,22.48,100.0,96.19,3.81,100.0,86.31,13.69
403.gcc,LIP,2048,16,256,0.429433,0.42943322547999846,3.0745379293254578,0.09394903199390899,32.72559454923165,0.08467445618161716,3184070005,7414586986,32,4,32,1,10,200,1230602341,1126401757,104200584,104200584,94411040,9789544,9789544,3.0745379293254578,757366476,702366959,54999517,0.07261942367779162,17.27333787059748,473235865,424034798,49201067,0.10396732504625363,15.452256678634175,54999517,46210140,8789377,0.15980825795251985,2.7604220341254715,49201067,48200900,1000167,0.020328156704406432,0.31411589519998634,2048,16,256,Sets:  256,Sets:  512,/home/ssm-user/advcomparch/advcomparch-ex2-helpcode/outputs/replacment_policies/403.gcc/403.gcc.cslab_cache_stats_L2_LIP_2048_16_256.out,100.0,92.74,7.26,100.0,89.6,10.4,100.0,91.53,8.47,100.0,84.02,15.98,100.0,97.97,2.03,100.0,90.61,9.39
403.gcc,LRU,512,16,256,0.478985,0.4789854724571677,2.45409541512899,0.11661742075972713,21.043986388494126,0.054449396675819925,3184120288,6647634367,32,4,32,1,10,200,1230621239,1163614655,67006584,67006584,59192449,7814135,7814135,2.45409541512899,757367035,719548417,37818618,0.04993433335793391,11.877257948616794,473254204,444066238,29187966,0.061675027402397886,9.166728439877332,37818618,30645320,7173298,0.1896763652230761,2.2528351165105227,29187966,28547129,640837,0.021955520984230283,0.20126029861846725,512,16,256,Sets:  256,Sets:  128,/home/ssm-user/advcomparch/advcomparch-ex2-helpcode/outputs/replacment_policies/403.gcc/403.gcc.cslab_cache_stats_L2_LRU_0512_16_256.out,100.0,95.01,4.99,100.0,93.83,6.17,100.0,94.56,5.44,100.0,81.03,18.97,100.0,97.8,2.2,100.0,88.34,11.66
403.gcc,LRU,1024,8,256,0.506326,0.5063262418117608,1.8784305189196604,0.08825477793691709,21.28417931392143,0.05507140664019232,3184322731,6289073068,32,4,32,1,10,200,1230687577,1162911881,67775696,67775696,61794167,5981529,5981529,1.8784305189196604,757395387,719602465,37792922,0.04989853734084071,11.868433319298502,473292190,443309416,29982774,0.0633493952224312,9.415745994622931,37792922,32342521,5450401,0.14421750718295875,1.7116358674763987,29982774,29451646,531128,0.017714438297136884,0.16679465144326164,1024,8,256,Sets:  256,Sets:  512,/home/ssm-user/advcomparch/advcomparch-ex2-helpcode/outputs/replacment_policies/403.gcc/403.gcc.cslab_cache_stats_L2_LRU_1024_08_256.out,100.0,95.01,4.99,100.0,93.67,6.33,100.0,94.49,5.51,100.0,85.58,14.42,100.0,98.23,1.77,100.0,91.17,8.83
403.gcc,LRU,1024,16,256,0.50796,0.5079598675905824,1.846161074508338,0.08669558099298305,21.294754050471873,0.055099281149921034,3184297449,6268797305,32,4,32,1,10,200,1230666346,1162857515,67808831,67808831,61930105,5878726,5878726,1.846161074508338,757415830,719547414,37868416,0.04999686367790861,11.892235762049252,473250516,443310101,29940415,0.0632654672055339,9.402518288422621,37868416,32520558,5347858,0.141222120302048,1.6794467494484369,29940415,29409547,530868,0.01773081635641991,0.16671432505990116,1024,16,256,Sets:  256,Sets:  256,/home/ssm-user/advcomparch/advcomparch-ex2-helpcode/outputs/replacment_policies/403.gcc/403.gcc.cslab_cache_stats_L2_LRU_1024_16_256.out,100.0,95.0,5.0,100.0,93.67,6.33,100.0,94.49,5.51,100.0,85.88,14.12,100.0,98.23,1.77,100.0,91.33,8.67
403.gcc,LRU,2048,16,256,0.530716,0.5307158918043754,1.4246559056886314,0.0669381480818316,21.283168813499227,0.05506862809833586,3184328217,6000061928,32,4,32,1,10,200,1230693361,1162920766,67772595,67772595,63236023,4536572,4536572,1.4246559056886314,757424635,719581314,37843321,0.04996315045918727,11.884240072354325,473268726,443339452,29929274,0.06323949239781375,9.398928741144902,37843321,33765315,4078006,0.1077602570873735,1.2806487654849683,29929274,29470708,458566,0.01532165464488046,0.14400714020366326,2048,16,256,Sets:  256,Sets:  512,/home/ssm-user/advcomparch/advcomparch-ex2-helpcode/outputs/replacment_policies/403.gcc/403.gcc.cslab_cache_stats_L2_LRU_2048_16_256.out,100.0,95.0,5.0,100.0,93.68,6.32,100.0,94.49,5.51,100.0,89.22,10.78,100.0,98.47,1.53,100.0,93.31,6.69
403.gcc,MRU,512,16,256,0.205387,0.20538736657443518,14.963835528130073,0.30563665094508463,48.95955861922693,0.12667875535467632,3184094473,15502874038,32,4,32,1,10,200,1230607765,1074715905,155891860,155891860,108245594,47646266,47646266,14.963835528130073,757357412,662690258,94667154,0.12499666934004998,29.731264195438964,473250353,412025647,61224706,0.12937065046415294,19.22829442378797,94667154,55071085,39596069,0.4182661813198694,12.435582340838415,61224706,53174509,8050197,0.13148608667879924,2.528253187291657,512,16,256,Sets:  256,Sets:  128,/home/ssm-user/advcomparch/advcomparch-ex2-helpcode/outputs/replacment_policies/403.gcc/403.gcc.cslab_cache_stats_L2_MRU_0512_16_256.out,100.0,87.5,12.5,100.0,87.06,12.94,100.0,87.33,12.67,100.0,58.17,41.83,100.0,86.85,13.15,100.0,69.44,30.56
403.gcc,MRU,1024,8,256,0.311415,0.311414812030166,6.945858573421505,0.15949822718181497,43.5481866861366,0.11267392537003089,3184027110,10224391991,32,4,32,1,10,200,1230618411,1091959804,138658607,138658607,116542805,22115802,22115802,6.945858573421505,757368206,676380906,80987300,0.10693253210050911,25.435493229829945,473250205,415578898,57671307,0.1218621912694153,18.11269345630666,80987300,62263171,18724129,0.23119833603540307,5.880643710976443,57671307,54279634,3391673,0.0588104063603067,1.0652148624450626,1024,8,256,Sets:  256,Sets:  512,/home/ssm-user/advcomparch/advcomparch-ex2-helpcode/outputs/replacment_policies/403.gcc/403.gcc.cslab_cache_stats_L2_MRU_1024_08_256.out,100.0,89.31,10.69,100.0,87.81,12.19,100.0,88.73,11.27,100.0,76.88,23.12,100.0,94.12,5.88,100.0,84.05,15.95
403.gcc,MRU,1024,16,256,0.264959,0.2649588284377085,9.697071387390139,0.21632069303379134,44.82729438128864,0.11598743509683482,3184412465,12018518061,32,4,32,1,10,200,1230724646,1087976051,142748595,142748595,111869120,30879475,30879475,9.697071387390139,757438097,673099468,84338629,0.11134722340220497,26.484831951566925,473286549,414876583,58409966,0.12341353483088319,18.34246242972171,84338629,58176340,26162289,0.31020529157522825,8.21573501785674,58409966,53692780,4717186,0.08075995113573597,1.4813363695333985,1024,16,256,Sets:  256,Sets:  256,/home/ssm-user/advcomparch/advcomparch-ex2-helpcode/outputs/replacment_policies/403.gcc/403.gcc.cslab_cache_stats_L2_MRU_1024_16_256.out,100.0,88.87,11.13,100.0,87.66,12.34,100.0,88.4,11.6,100.0,68.98,31.02,100.0,91.92,8.08,100.0,78.37,21.63
403.gcc,MRU,2048,16,256,0.315212,0.31521216275872277,6.782835181519904,0.15795624199084385,42.941229140619086,0.11110650403526591,3184052011,10101298069,32,4,32,1,10,200,1230594988,1093867881,136727107,136727107,115130207,21596900,21596900,6.782835181519904,757361555,677907999,79453556,0.10490835648503441,24.953598661551514,473233433,415959882,57273551,0.12102600324943652,17.987630479067576,79453556,61199127,18254429,0.2297496791710619,5.733081286654899,57273551,53931080,3342471,0.05835976540026303,1.0497538948650045,2048,16,256,Sets:  256,Sets:  512,/home/ssm-user/advcomparch/advcomparch-ex2-helpcode/outputs/replacment_policies/403.gcc/403.gcc.cslab_cache_stats_L2_MRU_2048_16_256.out,100.0,89.51,10.49,100.0,87.9,12.1,100.0,88.89,11.11,100.0,77.03,22.97,100.0,94.16,5.84,100.0,84.2,15.8
403.gcc,Random,512,16,256,0.200172,0.20017198462772662,15.551010227204868,0.311634137126017,49.90149786098829,0.12911557396429293,3184023242,15906437896,32,4,32,1,10,200,1230583764,1071696235,158887529,158887529,109372751,49514778,49514778,15.551010227204868,757353151,660474387,96878764,0.1279175558615983,30.426525385269155,473230613,411221848,62008765,0.13103286916901127,19.474972475719134,96878764,55280561,41598203,0.4293841217875158,13.06466688159935,62008765,54092190,7916575,0.12766864490850607,2.4863433456055155,512,16,256,Sets:  256,Sets:  128,/home/ssm-user/advcomparch/advcomparch-ex2-helpcode/outputs/replacment_policies/403.gcc/403.gcc.cslab_cache_stats_L2_Random_0512_16_256.out,100.0,87.21,12.79,100.0,86.9,13.1,100.0,87.09,12.91,100.0,57.06,42.94,100.0,87.23,12.77,100.0,68.84,31.16
403.gcc,Random,1024,8,256,0.323941,0.3239407030513666,6.386555692834666,0.1509166806585885,42.31842142938899,0.10949440061841424,3184060545,9829146245,32,4,32,1,10,200,1230605540,1095861124,134744416,134744416,114409236,20335180,20335180,6.386555692834666,757370495,678501937,78868558,0.10413471150602453,24.76980474628506,473235045,417359187,55875858,0.11807210516287947,17.548616683103933,78868558,61430520,17438038,0.22110253366113275,5.476666587695179,55875858,52978716,2897142,0.051849619919930354,0.9098891051394878,1024,8,256,Sets:  256,Sets:  512,/home/ssm-user/advcomparch/advcomparch-ex2-helpcode/outputs/replacment_policies/403.gcc/403.gcc.cslab_cache_stats_L2_Random_1024_08_256.out,100.0,89.59,10.41,100.0,88.19,11.81,100.0,89.05,10.95,100.0,77.89,22.11,100.0,94.82,5.18,100.0,84.91,15.09
